ts,idx,run,depth,label,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T00:17:05-03:00,27,3,196608,192K,turbo4,turbo4,0, 66, 24564, 59, 47.23
2026-05-10T00:17:10-03:00,27,3,196608,192K,turbo4,turbo4,11, 16432, 24564, 58, 75.21
2026-05-10T00:17:15-03:00,27,3,196608,192K,turbo4,turbo4,100, 22216, 24564, 73, 448.04
2026-05-10T00:17:20-03:00,27,3,196608,192K,turbo4,turbo4,99, 22268, 24564, 74, 447.53
2026-05-10T00:17:26-03:00,27,3,196608,192K,turbo4,turbo4,100, 22316, 24564, 75, 450.08
2026-05-10T00:17:31-03:00,27,3,196608,192K,turbo4,turbo4,98, 22360, 24564, 75, 446.24
2026-05-10T00:17:36-03:00,27,3,196608,192K,turbo4,turbo4,100, 22402, 24564, 76, 448.34
2026-05-10T00:17:41-03:00,27,3,196608,192K,turbo4,turbo4,100, 22440, 24564, 76, 448.57
2026-05-10T00:17:47-03:00,27,3,196608,192K,turbo4,turbo4,100, 22476, 24564, 73, 450.32
2026-05-10T00:17:52-03:00,27,3,196608,192K,turbo4,turbo4,100, 22510, 24564, 73, 449.31
2026-05-10T00:17:57-03:00,27,3,196608,192K,turbo4,turbo4,100, 22542, 24564, 76, 450.19
2026-05-10T00:18:02-03:00,27,3,196608,192K,turbo4,turbo4,100, 22574, 24564, 77, 446.03
2026-05-10T00:18:08-03:00,27,3,196608,192K,turbo4,turbo4,100, 22604, 24564, 76, 448.83
2026-05-10T00:18:13-03:00,27,3,196608,192K,turbo4,turbo4,100, 22634, 24564, 76, 448.09
2026-05-10T00:18:18-03:00,27,3,196608,192K,turbo4,turbo4,100, 22662, 24564, 76, 448.36
2026-05-10T00:18:23-03:00,27,3,196608,192K,turbo4,turbo4,100, 22690, 24564, 77, 448.02
2026-05-10T00:18:29-03:00,27,3,196608,192K,turbo4,turbo4,100, 22716, 24564, 77, 446.64
2026-05-10T00:18:34-03:00,27,3,196608,192K,turbo4,turbo4,100, 22742, 24564, 77, 449.36
2026-05-10T00:18:39-03:00,27,3,196608,192K,turbo4,turbo4,100, 22768, 24564, 77, 450.05
2026-05-10T00:18:44-03:00,27,3,196608,192K,turbo4,turbo4,100, 22792, 24564, 77, 450.21
2026-05-10T00:18:50-03:00,27,3,196608,192K,turbo4,turbo4,100, 22816, 24564, 76, 445.51
2026-05-10T00:18:55-03:00,27,3,196608,192K,turbo4,turbo4,100, 22838, 24564, 77, 444.57
2026-05-10T00:19:00-03:00,27,3,196608,192K,turbo4,turbo4,100, 22862, 24564, 77, 443.57
2026-05-10T00:19:06-03:00,27,3,196608,192K,turbo4,turbo4,100, 22884, 24564, 71, 449.90
2026-05-10T00:19:11-03:00,27,3,196608,192K,turbo4,turbo4,100, 22906, 24564, 78, 448.89
2026-05-10T00:19:16-03:00,27,3,196608,192K,turbo4,turbo4,100, 22928, 24564, 78, 444.84
2026-05-10T00:19:21-03:00,27,3,196608,192K,turbo4,turbo4,40, 22164, 24564, 64, 131.40
