ts,idx,run,depth,label,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-09T23:20:18-03:00,1,1,131072,128K,q8_0,q8_0,0, 66, 24564, 42, 16.84
2026-05-09T23:20:23-03:00,1,1,131072,128K,q8_0,q8_0,11, 16432, 24564, 44, 66.00
2026-05-09T23:20:28-03:00,1,1,131072,128K,q8_0,q8_0,100, 21534, 24564, 62, 447.10
2026-05-09T23:20:34-03:00,1,1,131072,128K,q8_0,q8_0,100, 21588, 24564, 64, 447.60
2026-05-09T23:20:39-03:00,1,1,131072,128K,q8_0,q8_0,100, 21638, 24564, 65, 449.10
2026-05-09T23:20:44-03:00,1,1,131072,128K,q8_0,q8_0,100, 21682, 24564, 64, 448.12
2026-05-09T23:20:49-03:00,1,1,131072,128K,q8_0,q8_0,100, 21724, 24564, 68, 449.02
2026-05-09T23:20:55-03:00,1,1,131072,128K,q8_0,q8_0,100, 21762, 24564, 69, 448.04
2026-05-09T23:21:00-03:00,1,1,131072,128K,q8_0,q8_0,100, 21798, 24564, 68, 445.92
2026-05-09T23:21:05-03:00,1,1,131072,128K,q8_0,q8_0,100, 21834, 24564, 69, 447.49
2026-05-09T23:21:10-03:00,1,1,131072,128K,q8_0,q8_0,100, 21866, 24564, 70, 447.87
2026-05-09T23:21:16-03:00,1,1,131072,128K,q8_0,q8_0,100, 21898, 24564, 71, 448.45
2026-05-09T23:21:21-03:00,1,1,131072,128K,q8_0,q8_0,100, 21928, 24564, 72, 448.51
2026-05-09T23:21:26-03:00,1,1,131072,128K,q8_0,q8_0,100, 21958, 24564, 72, 448.36
2026-05-09T23:21:31-03:00,1,1,131072,128K,q8_0,q8_0,100, 21986, 24564, 72, 447.62
2026-05-09T23:21:37-03:00,1,1,131072,128K,q8_0,q8_0,85, 21486, 24564, 61, 115.24
