ts,idx,run,depth,label,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-09T23:41:26-03:00,11,2,131072,128K,q8_0,turbo4,0, 66, 24564, 60, 49.28
2026-05-09T23:41:31-03:00,11,2,131072,128K,q8_0,turbo4,11, 16432, 24564, 60, 75.29
2026-05-09T23:41:36-03:00,11,2,131072,128K,q8_0,turbo4,100, 20448, 24564, 75, 448.94
2026-05-09T23:41:42-03:00,11,2,131072,128K,q8_0,turbo4,99, 20500, 24564, 75, 447.70
2026-05-09T23:41:47-03:00,11,2,131072,128K,q8_0,turbo4,100, 20548, 24564, 74, 448.40
2026-05-09T23:41:52-03:00,11,2,131072,128K,q8_0,turbo4,100, 20592, 24564, 76, 448.43
2026-05-09T23:41:57-03:00,11,2,131072,128K,q8_0,turbo4,99, 20634, 24564, 77, 449.60
2026-05-09T23:42:03-03:00,11,2,131072,128K,q8_0,turbo4,99, 20672, 24564, 76, 448.46
2026-05-09T23:42:08-03:00,11,2,131072,128K,q8_0,turbo4,100, 20708, 24564, 77, 446.12
2026-05-09T23:42:13-03:00,11,2,131072,128K,q8_0,turbo4,100, 20742, 24564, 77, 446.57
2026-05-09T23:42:18-03:00,11,2,131072,128K,q8_0,turbo4,100, 20774, 24564, 77, 444.18
2026-05-09T23:42:24-03:00,11,2,131072,128K,q8_0,turbo4,100, 20806, 24564, 77, 449.17
2026-05-09T23:42:29-03:00,11,2,131072,128K,q8_0,turbo4,100, 20836, 24564, 76, 446.10
2026-05-09T23:42:34-03:00,11,2,131072,128K,q8_0,turbo4,100, 20866, 24564, 77, 448.22
2026-05-09T23:42:39-03:00,11,2,131072,128K,q8_0,turbo4,100, 20894, 24564, 77, 447.18
2026-05-09T23:42:45-03:00,11,2,131072,128K,q8_0,turbo4,30, 19748, 24564, 65, 203.31
