ts,idx,label,pos,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T00:47:34-03:00,13,160K,p25,q8_0,q8_0,0, 66, 24564, 60, 49.23
2026-05-10T00:47:45-03:00,13,160K,p25,q8_0,q8_0,100, 22638, 24564, 74, 449.13
2026-05-10T00:47:55-03:00,13,160K,p25,q8_0,q8_0,100, 22740, 24564, 75, 448.40
2026-05-10T00:48:05-03:00,13,160K,p25,q8_0,q8_0,99, 22826, 24564, 76, 447.94
2026-05-10T00:48:15-03:00,13,160K,p25,q8_0,q8_0,100, 22900, 24564, 76, 448.61
2026-05-10T00:48:26-03:00,13,160K,p25,q8_0,q8_0,100, 22968, 24564, 76, 447.28
2026-05-10T00:48:36-03:00,13,160K,p25,q8_0,q8_0,100, 23030, 24564, 77, 448.18
2026-05-10T00:48:46-03:00,13,160K,p25,q8_0,q8_0,100, 23086, 24564, 77, 446.58
2026-05-10T00:48:56-03:00,13,160K,p25,q8_0,q8_0,100, 23140, 24564, 77, 445.60
2026-05-10T00:49:07-03:00,13,160K,p25,q8_0,q8_0,100, 23192, 24564, 74, 446.37
