ts,idx,label,pos,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T01:57:36-03:00,32,192K,p75,turbo4,turbo4,0, 66, 24564, 56, 18.84
2026-05-10T01:57:46-03:00,32,192K,p75,turbo4,turbo4,99, 22190, 24564, 71, 447.67
2026-05-10T01:57:57-03:00,32,192K,p75,turbo4,turbo4,100, 22292, 24564, 73, 449.39
2026-05-10T01:58:07-03:00,32,192K,p75,turbo4,turbo4,100, 22378, 24564, 73, 447.77
2026-05-10T01:58:17-03:00,32,192K,p75,turbo4,turbo4,100, 22452, 24564, 74, 447.09
2026-05-10T01:58:27-03:00,32,192K,p75,turbo4,turbo4,100, 22520, 24564, 75, 447.12
2026-05-10T01:58:38-03:00,32,192K,p75,turbo4,turbo4,100, 22582, 24564, 75, 446.77
2026-05-10T01:58:48-03:00,32,192K,p75,turbo4,turbo4,100, 22638, 24564, 76, 446.62
2026-05-10T01:58:58-03:00,32,192K,p75,turbo4,turbo4,100, 22692, 24564, 76, 447.83
2026-05-10T01:59:09-03:00,32,192K,p75,turbo4,turbo4,99, 22744, 24564, 74, 445.97
2026-05-10T01:59:19-03:00,32,192K,p75,turbo4,turbo4,100, 22792, 24564, 77, 449.66
2026-05-10T01:59:29-03:00,32,192K,p75,turbo4,turbo4,100, 22838, 24564, 77, 442.75
2026-05-10T01:59:39-03:00,32,192K,p75,turbo4,turbo4,100, 22902, 24564, 76, 446.50
