ts,idx,label,pos,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T02:09:59-03:00,34,192K,p95,q8_0,turbo4,0, 66, 24564, 45, 45.51
2026-05-10T02:10:09-03:00,34,192K,p95,q8_0,turbo4,100, 22186, 24564, 63, 449.23
2026-05-10T02:10:19-03:00,34,192K,p95,q8_0,turbo4,99, 22290, 24564, 66, 447.23
2026-05-10T02:10:30-03:00,34,192K,p95,q8_0,turbo4,100, 22376, 24564, 69, 446.98
2026-05-10T02:10:40-03:00,34,192K,p95,q8_0,turbo4,100, 22452, 24564, 70, 449.71
2026-05-10T02:10:50-03:00,34,192K,p95,q8_0,turbo4,99, 22520, 24564, 70, 447.04
2026-05-10T02:11:01-03:00,34,192K,p95,q8_0,turbo4,100, 22582, 24564, 68, 448.50
2026-05-10T02:11:11-03:00,34,192K,p95,q8_0,turbo4,100, 22640, 24564, 72, 447.49
2026-05-10T02:11:21-03:00,34,192K,p95,q8_0,turbo4,100, 22694, 24564, 73, 446.29
2026-05-10T02:11:31-03:00,34,192K,p95,q8_0,turbo4,100, 22744, 24564, 75, 445.12
2026-05-10T02:11:42-03:00,34,192K,p95,q8_0,turbo4,100, 22792, 24564, 74, 444.88
2026-05-10T02:11:52-03:00,34,192K,p95,q8_0,turbo4,100, 22838, 24564, 75, 449.40
2026-05-10T02:12:02-03:00,34,192K,p95,q8_0,turbo4,100, 22902, 24564, 71, 435.46
