ts,idx,label,pos,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T00:57:55-03:00,19,160K,p95,q8_0,q8_0,0, 66, 24564, 60, 48.78
2026-05-10T00:58:06-03:00,19,160K,p95,q8_0,q8_0,100, 22638, 24564, 73, 449.09
2026-05-10T00:58:16-03:00,19,160K,p95,q8_0,q8_0,99, 22740, 24564, 75, 448.70
2026-05-10T00:58:26-03:00,19,160K,p95,q8_0,q8_0,100, 22826, 24564, 76, 448.30
2026-05-10T00:58:36-03:00,19,160K,p95,q8_0,q8_0,100, 22900, 24564, 76, 448.26
2026-05-10T00:58:47-03:00,19,160K,p95,q8_0,q8_0,99, 22968, 24564, 77, 444.98
2026-05-10T00:58:57-03:00,19,160K,p95,q8_0,q8_0,100, 23030, 24564, 77, 447.77
2026-05-10T00:59:07-03:00,19,160K,p95,q8_0,q8_0,100, 23086, 24564, 77, 447.81
2026-05-10T00:59:17-03:00,19,160K,p95,q8_0,q8_0,100, 23140, 24564, 77, 448.49
2026-05-10T00:59:28-03:00,19,160K,p95,q8_0,q8_0,100, 23192, 24564, 77, 446.35
