ts,idx,label,pos,ctk,ctv,gpu_util_pct,mem_used_mib,mem_total_mib,temp_c,power_w
2026-05-10T01:30:36-03:00,27,192K,p50,q8_0,q8_0,0, 66, 24564, 58, 20.35
2026-05-10T01:30:47-03:00,27,192K,p50,q8_0,q8_0,100, 23820, 24564, 72, 448.72
2026-05-10T01:30:57-03:00,27,192K,p50,q8_0,q8_0,100, 23924, 24564, 74, 448.59
2026-05-10T01:31:07-03:00,27,192K,p50,q8_0,q8_0,100, 24010, 24564, 75, 448.79
2026-05-10T01:31:17-03:00,27,192K,p50,q8_0,q8_0,99, 24084, 24564, 75, 447.20
2026-05-10T01:31:28-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 69, 219.59
2026-05-10T01:31:38-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 62, 169.42
2026-05-10T01:31:48-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 61, 150.46
2026-05-10T01:31:58-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 61, 141.25
2026-05-10T01:32:09-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 58, 140.00
2026-05-10T01:32:19-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 57, 133.95
2026-05-10T01:32:29-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 56, 132.94
2026-05-10T01:32:39-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 55, 132.27
2026-05-10T01:32:50-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 55, 131.95
2026-05-10T01:33:00-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 55, 125.53
2026-05-10T01:33:10-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 57, 124.89
2026-05-10T01:33:20-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 55, 124.57
2026-05-10T01:33:31-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 53, 118.93
2026-05-10T01:33:41-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 53, 118.43
2026-05-10T01:33:51-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 53, 122.06
2026-05-10T01:34:01-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 53, 117.81
2026-05-10T01:34:12-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 53, 122.51
2026-05-10T01:34:22-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 52, 116.56
2026-05-10T01:34:32-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 52, 116.37
2026-05-10T01:34:43-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 52, 116.78
2026-05-10T01:34:53-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 52, 116.35
2026-05-10T01:35:03-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 52, 116.01
2026-05-10T01:35:13-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 51, 115.75
2026-05-10T01:35:24-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 51, 114.99
2026-05-10T01:35:34-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 51, 115.22
2026-05-10T01:35:44-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 52, 115.32
2026-05-10T01:35:54-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 50, 115.57
2026-05-10T01:36:05-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 50, 109.66
2026-05-10T01:36:15-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 50, 114.70
2026-05-10T01:36:25-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 50, 114.40
2026-05-10T01:36:35-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 50, 114.05
2026-05-10T01:36:46-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 50, 113.79
2026-05-10T01:36:56-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 50, 114.13
2026-05-10T01:37:06-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 50, 108.80
2026-05-10T01:37:16-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 49, 109.07
2026-05-10T01:37:27-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 49, 108.09
2026-05-10T01:37:37-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 49, 113.52
2026-05-10T01:37:47-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 51, 113.25
2026-05-10T01:37:57-03:00,27,192K,p50,q8_0,q8_0,100, 24122, 24564, 49, 113.33
